股票代码,页码,标题,时间
300005,1,外骨骼爆发了，各景区抢都抢不到！！,04-04 02:35
300005,1,关于探路者,04-04 10:08
300005,1,先行者永远在路上，探路者走路都带风。,04-04 07:35
300005,1,三夫户外（股票代码：002780）确实涉及“灭蚊概念”，主要因其销售具有驱蚊功能,04-04 06:37
300005,1,不到20日线坚决不买,04-04 12:50
300005,1,探路者收购三夫户外，可能性有多大,04-04 10:53
300005,1,弱弱的问句，这个定增貌似通过不了吧，价格太低啦,04-03 10:03
300005,1,7.01分发行价太低，明显在抢钱。,04-02 07:16
300005,1,探路者：公司始终重视在全国的业务布局与品牌建设,04-03 09:10
300005,1,探路者：交易已完成交割手续，贝特莱已纳入公司合并财务报表,04-03 08:35
300005,1,贵司证券部门的电话是不是010-66609120，为什么每天都无人接听，形同虚设,04-03 03:00
300005,1,看好公司跨行业的业务转型，贵司在2025年12月1日公告，收购深圳贝特莱电子公司,04-03 03:00
300005,1,看好公司跨行业的业务转型，贵司在2025年12月1日公告，收购深圳贝特莱电子公司,04-03 03:00
300005,1,七百家红，很弱，但不能说不能做。特别是高手们今天很多还是大赚的。垃圾，翘尾，下来,04-03 03:17
300005,1,高位巨震，这就是出货啊。,04-02 02:04
300005,1,我宣布服装涨价30%,04-03 01:19
300005,1,一波上升后无见顶回踩到位，就是20日线那，在这进，这也是支撑和止损位。他的线没变,04-03 10:33
300005,1,咋这么抗跌？早知道迫你,04-03 01:06
300005,1,13.4给不给机会？,04-02 01:54
300005,1,倡议书﹕公司2025年能否分配方案为按持股多少送公司相关产品如冲锋衣，外骨骼助力,04-03 09:06
300005,1,探路者：融资净买入68.02万元，融资余额8.6亿元,04-03 09:05
300005,1,又开始割韭菜了不要买,04-02 08:18
300005,1,对300005走向的猜想？,03-28 10:03
300005,1,折价率42的已经被监管驳回了，更何况现在50多的折价率了，大股东想要定增通过，必,04-02 01:50
300005,1,午间公告：安科生物聘任窦昌林博士为公司首席执行官兼首席科学家,04-02 12:03
300005,1,探路者:探路者控股集团股份有限公司向特定对象发行A股股票募集说明书(申报稿),04-02 11:46
300005,1,14.12元等，还吹吗？,04-02 10:14
300005,1,探路者:国泰海通证券股份有限公司关于探路者控股集团股份有限公司创业板向特定对象发行股票之发行保荐书,04-02 11:46
300005,1,探路者:关于2025年度向特定对象发行A股股票申请获得深圳证券交易所受理的公告,04-02 11:46
300005,1,探路者:北京市天元律师事务所关于探路者控股集团股份有限公司向特定对象发行A股股票的法律意见,04-02 11:46
300005,1,探路者:国泰海通证券股份有限公司关于探路者控股集团股份有限公司创业板向特定对象发行股票之上市保荐书,04-02 11:46
300005,1,探路者:探路者控股集团股份有限公司最近一年的财务报告及其审计报告以及最近一期的财务报告,04-02 11:46
300005,1,打爆空头,04-02 09:35
300005,1,跟跌不跟涨啊，这么好的题材都拖不起股价,04-02 10:45
300005,1,这股也是奇怪，过段时间就莫名奇妙的砸一次。,04-02 10:13
300005,1,超低的大好时机,04-02 10:12
300005,1,妈来个八字,04-02 10:11
300005,1,公告利好利空？大神出来解释下,04-01 09:10
300005,1,探路者：融资净买入1418.12万元，融资余额8.59亿元,04-02 09:02
300005,1,3-1证券发行保荐书(申报稿)(探路者控股集团股份有限公司),04-01 08:11
300005,1,打爆空头,04-01 09:54
300005,1,6-1发行人最近一年的财务报告及其审计报告以及最近一期的财务报告(申报稿)(探路者控股集团股份有限公司),04-01 08:12
300005,1,1-1募集说明书(申报稿)(探路者控股集团股份有限公司),04-01 08:11
300005,1,3-3上市保荐书(申报稿)(探路者控股集团股份有限公司),04-01 08:11
300005,1,4-1法律意见书(申报稿)(探路者控股集团股份有限公司),04-01 08:11
300005,1,衣服要涨价10%-15%？中东战火正在烧向全球服装业,03-30 09:58
300005,1,拉个板啊,04-01 02:48
300005,1,东杰哥智能和包纲轮动张婷婷吧追加内容,04-01 02:39
300005,1,怎么还越来越低了,04-01 02:09
300005,1,这个坎太难过了,04-01 10:25
300005,1,这股太多人唱多，以为自己最叻（其实是最蠢）,04-01 10:31
300005,1,今天目标16+，未来2月30+，相信直觉。,04-01 09:39
300005,1,开盘很吉利，今天来个猛龙过江,04-01 09:27
300005,1,探路者：融资净偿还1327.56万元，融资余额8.45亿元,04-01 09:08
300005,1,今天走了的兄弟明天怕是要拍断腿了,03-31 10:31
300005,1,下面上来30%多了，整体环境不好，探路者表现相当不错了，短期调整下也是很正常了。,03-31 01:46
300005,1,上攻无力，必回调了。,03-31 02:35
300005,1,$探路者(SZ300005)$,03-31 02:53
300005,1,突破新高后，分时不放量，不继续创新高，只能果断卖出，获利了结了！,03-31 01:14
300005,1,都卖吧，哈哈，赶紧卖,03-31 01:13
300005,1,4月底，浙江小学生开启春假模式，叠加51假期，千军万马助力春假户外经济。,03-31 12:43
300005,1,又到了上不去的时候了,03-31 10:05
300005,1,冰雪产业概念活跃，舒华体育涨停,03-31 10:55
300005,1,冰雪产业概念活跃，舒华体育涨停,03-31 10:39
300005,1,今天继续收红K线就牛B，顶住,03-31 11:41
300005,1,今天应该没戏了,03-31 11:18
300005,1,哦吼萎靡了,03-31 10:57
300005,1,今天情绪错杀要把他当科技公司看而不是传统户外,03-31 10:31
300005,1,今天开始跑路了吗,03-31 10:26
300005,1,草，去年6.5割的，亏了几万，没想到啊。。。好久没看了,03-31 02:55
300005,1,我刚进来啊来啊来啊,03-31 10:23
300005,1,刚破新高就下来了难啊,03-31 10:04
300005,2,尊敬的公司领导您好！贵公司在前期机构调研里面说3D打印将成为深空探索、卫星星座关,04-03 03:00
300005,2,董秘你好，探路者在江苏开设了户外用品有限公司2026年会赞助苏超嘛，或者在苏超投,04-03 03:00
300005,2,董秘你好，对深圳贝特莱电子科技股份有限公司的收购是否已经完成。,04-03 03:00
300005,2,不看好就滚，一个,04-01 02:14
300005,2,打爆空头,03-31 02:08
300005,2,上攻无力，必跌,03-31 01:31
300005,2,妈来个八字打爆空头,03-31 11:19
300005,2,稍安勿躁蓄势待发,03-31 10:16
300005,2,15.30卖飞了拜拜了,03-31 09:30
300005,2,打爆空头直接起飞,03-31 09:43
300005,2,天天涨不停,03-31 09:40
300005,2,公司增发怎么样了？半年了，一点消息都没有,03-31 09:12
300005,2,探路者：融资净买入461.07万元，融资余额8.58亿元,03-31 08:59
300005,2,今天铁,03-31 08:48
300005,2,今天跌,03-31 08:47
