代码	    名称	市盈(动)	市净率	总市值
SH688710	益诺思		4.31	10009552700.00 
SH688711	宏微科技	318.1	5.1	5544674500.00 
SH688712	北芯生命-U	196.6	9.28	15850170000.00 
SH688716	中研股份	332.5	3.33	3944865600.00 
SH688717	艾罗能源	161.8	4.29	18720000000.00 
SH688718	唯赛勃	55.77	3.2	2571565000.00 
SH688719	爱科赛博		2.89	4954649800.00 
SH688720	艾森股份	117.2	5.74	5911984000.00 
SH688721	龙图光罩	91.85	4.25	5151765000.00 
SH688722	同益中	33.8	2.59	3700260500.00 
SH688726	拉普拉斯	36.33	5.47	22240248000.00 
SH688727	恒坤新材	203.2	8.32	20852923000.00 
SH688728	格科微	669.1	4.29	33703603000.00 
SH688729	屹唐股份	96.54	7.26	64756320000.00 
SH688733	壹石通		2.44	5136220100.00 
SH688737	中自科技		1.63	2883896000.00 
SH688739	成大生物	74.5	1.08	10252999000.00 
SH688750	金天钛业	138.1	3.32	8186250000.00 
SH688755	汉邦科技	54.61	2.62	3254240000.00 
SH688757	胜科纳米	151	10.6	9405223900.00 
SH688758	赛分科技	64.75	6.05	8183519300.00 
SH688759	必贝特-U		9.88	16493843000.00 
SH688765	禾元生物-U		7.94	22980100000.00 
SH688766	普冉股份	160.7	13.79	33339177000.00 
SH688767	博拓生物	99.31	1.96	4647253400.00 
SH688768	容知日新	47.23	3.59	3963011600.00 
SH688772	珠海冠宇	37.45	2.41	17662097000.00 
SH688775	影石创新	78.31	12.9	75496270000.00 
SH688776	国光电气		5.24	9180075600.00 
SH688777	中控技术	113.3	5.02	50992165000.00 
SH688778	厦钨新能	48.07	3.95	36287289000.00 
SH688779	五矿新能	88.07	2.77	20083173000.00 
SH688781	C视涯-UW		8.72	35700000000.00 
SH688783	西安奕材-U		6.86	85278336000.00 
SH688785	恒运昌	166.9	8.62	19088491000.00 
SH688786	悦安新材	49.3	5.55	4298182100.00 
SH688787	海天瑞声	568	10.78	7993689600.00 
SH688788	科思科技		4.62	8479061800.00 
SH688789	宏华数科	22.29	3.3	11790552000.00 
SH688790	昂瑞微-UW		4.6	12822667400.00 
SH688793	倍轻松		8.34	2013701200.00 
SH688795	摩尔线程-U		22.93	262214640000.00 
SH688796	百奥赛图	240	19.11	41570491000.00 
SH688798	艾为电子	48.31	3.64	15293239000.00 
SH688799	华纳药厂	29.91	3.53	7221286800.00 
SH688800	瑞可达	53.77	6.96	16511536000.00 
SH688802	沐曦股份-U		18.29	240860200000.00 
SH688805	健信超导	97.44	5.99	7319232000.00 
SH688807	优迅股份	189.6	9.46	16708800000.00 
SH688809	强一股份	99.55	9.73	39619234000.00 
SH688811	有研复材	0	0	--
SH688813	N泰金	38.78	4.56	7915200000.00 
SH688816	易思维	80.4	3.33	6153000000.00 
SH688818	电科蓝天	322.3	19.44	105500757000.00 
SH688819	天能股份	19.74	1.84	31408551000.00 
SH688820	盛合晶微	0	0	--
SH688981	中芯国际	149.3	4.99	752536960000.00 
SH689009	九号公司-WD	18.18	4.45	31955895000.00 
SH688053	ST思科瑞		2.3	3711000000.00 
SH688076	ST诺泰	28.1	3.09	9187628600.00 
SH688184	ST帕瓦		1.46	1582522800.00 
SH688287	*ST观典		1.76	1104136490.00 
SH688511	*ST天微	80.77	3.26	2756849300.00 
SH688646	ST逸飞		3.13	4726962900.00 
